* 10.10 | 1112  $026156 $aValencia (Diócesis). $qConcilio, $d1565 | 1112  $026912 $aValencia (Diócesis). $qSínodo, $d1590
1.00 | 1001  $aValero Juan, Eva M.® | 7001  $07968 $aValero Juan, Eva María
1.00 | 1001  $aValero Juan, Eva M.® | 1001  $07968 $aValero Juan, Eva María
0.50 | 7001  $035199 $aTissot, M.J. | 1001  $02275 $aTissot, J. $d1750?-1826
0.50 | 7001  $06181 $aBarrera, Alonso de la $eed.imp.lib | 7001  $025812 $aBarrera, Alfonso de la
0.50 | 7001  $06181 $aBarrera, Alonso de la $eed.imp.lib | 7001  $025812 $aBarrera, Alfonso de la $eimp.
* 10.10 | 1001  $015851 $aMesue, Johannes, $dm.1015. | 7001  $015841 $aMesue, Johannes, $dm.857.
* 10.10 | 7001  $015851 $aMesue, Johannes, $dm.1015. | 7001  $015841 $aMesue, Johannes, $dm.857.
1.00 | 1001  $031860 $aOffredus, Apolinariis. | 1001  $021564 $aOffredus, Apollinaris
0.50 | 7000  $027625 $aPablo $bIV, $cPapa | 7000  $027598 $aPablo $bV, $cPapa, $d1552-1621
0.50 | 1001  $aGrynaeus, Simon $d(1493-1541), $eed. lit. | 7001  $034714 $aGrynäus, Simon, $d1493-1541
1.00 | 1000  $027858 $aInocencio $bIII, $cPapa | 1000  $029218 $aInocencio $bXII, $cPapa
0.50 | 1000  $027858 $aInocencio $bIII, $cPapa | 1000  $aInocencio $bVIII $cPapa $d1432-1492
0.50 | 7001  $020336 $aSacro Bosco, Johannes de $d(fl.1230) $tSphaera | 1001  $06150 $aSacro Bosco, Joannes de $dfl 1230-
0.50 | 7001  $020336 $aSacro Bosco, Johannes de $d(fl.1230) $tSphaera | 7001  $06150 $aSacro Bosco, Joannes de $dfl 1230-
1.00 | 7000  $033348 $aVazquez Hidalgo y cia., $eimp. | 7001  $033350 $aVázquez, Hidalgo, y Cía, $eimp.
0.50 | 7001  $019425 $aPirckheimer, Willibald $d(1470-1530), $etr. | 7001  $027450 $aPirckheimer, Wilibald
0.50 | 1001  $aRiquer, Martín de $d1914- | 7001  $03296 $aRiquer, Martí de $d1914- $eed. lit.
1.00 | 7001  $021561 $aBenalius, Bernardinus de $d(fl.1483-1543), $eed.imp.lib | 7001  $024209 $aBenaliis, Bernardinus de
1.00 | 7001  $017252 $aFerrer, Juan, $eed.imp.lib | 7001  $06361 $aPiferrer, Juan $d1703-1734 $eimp.
0.50 | 7001  $03296 $aRiquer, Martí de $d1914- $eed. lit. | 1001  $aRiquer, Martín de $d1914-
1.00 | 7001  $019414 $aPortonariis, Domingo de, $eed.imp.lib | 7001  $05469 $aPortonarijs, Domingo de $eimp.
0.50 | 7001  $015840 $aGrynaeus, Simon, $d1493-1541. $epr. | 7001  $034714 $aGrynäus, Simon, $d1493-1541
1.00 | 7001  $029332 $aBlas y Quesada, Florencio José de $e, imp | 7001  $029450 $aBlas de Quesada, Florencio José $eimp.
1.00 | 7001  $032545 $aScotti, Girolamo $eimp. | 7001  $020285 $aScotto, Girolamo, $eed.imp.lib
1.00 | 7001  $032545 $aScotti, Girolamo $eimp. | 7001  $020285 $aScotto, Girolamo, $eed.imp.lib.
* 10.10 | 1000  $aSem Tob de Carrión $dm.1370 | 1000  $0468 $aSem Tob de Carrión $dS. 13ð-1370
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 $tCentiloquio de proverbios de gloriosa doctrina | 1003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
0.67 | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458 $tCentiloquio de proverbios de gloriosa doctrina | 7003  $0519 $aSantillana, Íñigo López de Mendoza $cMarqués de $d1398-1458
